date,headline,source_domain,url,language,social_image,raw_seendate,category,urgency_score,companies_mentioned,countries_mentioned
2024-04-30,Record US drug shortage a positive for Indian pharma companies,businesstoday.in,https://www.businesstoday.in/industry/pharma/story/record-us-drug-shortage-a-positive-for-indian-pharma-companies-427579-2024-04-30,English,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202404/6630895080fef-the-prevailing-situation-in-the-us-pharmaceutical-industry-is-largely-due-to-fractures-in-the-supply-300149449-16x9.jpg,20240430T083000Z,Drug Shortage,4,None,India
2024-04-25,Augmented Reality In Marketing Global Market Set For Rapid,openpr.com,https://www.openpr.com/news/3476235/augmented-reality-in-marketing-global-market-set-for-rapid,English,https://cdn.open-pr.com/L/4/L425434352_g.jpg,20240425T100000Z,API/Manufacturing,2,None,Global
2024-04-24,India pharmaceuticals exports rise 10 % to $28 billion in FY24 | Business News,indianexpress.com,https://indianexpress.com/article/business/india-pharmaceutical-exports-in-fy24-commerce-ministry-9288129/,English,https://images.indianexpress.com/2024/04/Untitled-design-2024-04-24T150250.117.jpg,20240424T100000Z,Trade/Geopolitics,2,None,India
2024-04-24,pharma exports : India pharma exports rise 10 % to USD 27 . 9 bn in FY24,economictimes.indiatimes.com,https://economictimes.indiatimes.com/industry/healthcare/biotech/pharmaceuticals/indias-pharma-exports-rise-10-to-usd-27-9-bn-in-fy24/articleshow/109560417.cms,English,"https://img.etimg.com/thumb/msid-109560464,width-1200,height-630,imgsize-61338,overlay-economictimes/photo.jpg",20240424T100000Z,Trade/Geopolitics,2,None,India
2024-04-24,Recife está entre capitais do país sem estoque de vacina para campanha contra Covid - 19,diariodepernambuco.com.br,https://www.diariodepernambuco.com.br/noticia/vidaurbana/2024/04/recife-esta-entre-capitais-do-pais-sem-estoque-de-vacina-para-campanha.html,Portuguese,https://www.diariodepernambuco.com.br/static/app/noticia_127983242361/2024/04/24/951380/20240424073414597753i.jpg,20240424T151500Z,API/Manufacturing,2,None,Global
2024-04-22,Shortage of TB drugs : Pune to get supply in 3 - 4 days,indianexpress.com,https://indianexpress.com/article/cities/pune/shortage-of-tb-drugs-pune-to-get-supply-in-3-4-days-9285055/,English,https://images.indianexpress.com/2024/04/TB_12de35.jpg,20240422T184500Z,Drug Shortage,3,None,Global
2024-04-22,Acute shortage of anti - rabies vaccine in Bharatpur Hospital leaves patients in trouble,myrepublica.nagariknetwork.com,https://myrepublica.nagariknetwork.com/news/acute-shortage-of-anti-rabies-vaccine-in-bharatpur-hospital-leaves-patients-in-trouble/,English,https://myrepublica.nagariknetwork.com/uploads/media/1612078596_duplicatevaccine-1200x560_20210720124610.jpg,20240422T043000Z,Drug Shortage,5,None,Global
2024-04-19,WHO prequalifies new oral vaccine for cholera ; Here what you need to know - Pharma News,financialexpress.com,https://www.financialexpress.com/healthcare/pharma-healthcare/who-prequalifies-new-oral-vaccine-for-cholera-heres-what-you-need-to-know/3462417/,English,https://www.financialexpress.com/wp-content/uploads/2023/12/105681190.jpg,20240419T131500Z,Vaccines,1,None,Global
2024-04-19,WHO approves simpler cholera vaccine,bssnews.net,https://www.bssnews.net/news/184581,English,https://www.bssnews.net/assets/news_photos/2024/04/19/image-184581-1713545552.jpg,20240419T193000Z,Vaccines,1,None,Global
2024-04-18,Congo - Kinshasa : Hospitals in Eastern DRC Face Vaccine Shortages,allafrica.com,https://allafrica.com/stories/202404180012.html,English,,20240418T051500Z,Drug Shortage,4,None,Global
2024-04-15,Granules India trades down despite zero observation from US FDA,moneycontrol.com,https://www.moneycontrol.com/news/business/stocks/granules-india-trades-down-despite-zero-observation-from-us-fda-12635181.html,English,https://images.moneycontrol.com/static-mcnews/2020/06/GRANULES-INDIA-770x433.jpg,20240415T050000Z,Trade/Geopolitics,2,None,India
2024-04-12,Drug shortages in U . S . at highest level on record since 2001,seekingalpha.com,https://seekingalpha.com/news/4089131-drug-shortages-us-highest-level-on-record,English,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1251485255/image_1251485255.jpg?io=getty-c-w750,20240412T094500Z,Drug Shortage,3,None,Global
2024-04-09,"The API Innovation Center , Apertus Pharmaceuticals Bring API Production of Critical Generic Cancer Drug to U . S . Soil",streetinsider.com,"https://www.streetinsider.com/Business+Wire/The+API+Innovation+Center,+Apertus+Pharmaceuticals+Bring+API+Production+of+Critical+Generic+Cancer+Drug+to+U.S.+Soil/23044660.html",English,,20240409T134500Z,API/Manufacturing,4,None,Global
2024-04-09,"Pertussis cases top 1 , 000 as govt scrambles for vaccines",philstar.com,https://www.philstar.com/headlines/2024/04/09/2346449/pertussis-cases-top-1000-govt-scrambles-vaccines,English,https://media.philstar.com/photos/2024/04/09/42024-03-2801-09-142024-04-0323-13-24_2024-04-09_14-51-32.jpg,20240409T081500Z,Vaccines,1,None,Global
2024-04-08,Most Cancer Drugs Granted Accelerated FDA Approval May Not Work,time.com,https://time.com/6964602/do-cancer-drugs-work/,English,https://api.time.com/wp-content/uploads/2024/04/fda-cancer-drugs.jpg?quality=85,20240408T133000Z,Regulatory,1,None,Global
2024-04-08,DOH expecting shortage on pertussis vaccines,philstar.com,https://www.philstar.com/headlines/2024/04/09/2346271/doh-expecting-shortage-pertussis-vaccines,English,https://media.philstar.com/photos/2024/04/08/a1322_2024-04-08_21-36-23.jpg,20240408T163000Z,Drug Shortage,3,None,Global
2024-04-06,Sanofi gets nod for new polio vaccine in India,tribuneindia.com,https://www.tribuneindia.com/news/business/sanofi-gets-nod-for-new-polio-vaccine-in-india-607856,English,https://englishtribuneimages.blob.core.windows.net/gallary-content/2024/4/2024_4$largeimg_1119426019.webp,20240406T030000Z,Vaccines,2,Sanofi,India
2024-04-04,Mark Cuban startup sending drugs to hospitals facing shortage,dallasnews.com,https://www.dallasnews.com/business/health-care/2024/04/04/mark-cubans-startup-sending-drugs-to-hospitals-facing-shortage/,English,https://dmn-dallas-news-prod.cdn.arcpublishing.com/resizer/v2/UKLRL3M2ZBHJDMNZR6RKUL755M.jpg?auth=1d242624aace12a6850aa05b483c3704e94c4d37fb64a8e40656fd815ccfb7e2&smart=true,20240404T121500Z,Drug Shortage,4,None,Global
